FROM,TO,28/12/16(23.15PM),12/28/2016(23.45PM),12/29/2016(00:00),12/30/2016(00:00),12/30/2016(21:00),1/1/2017(01:45)
INR,BZD,0.029,0.029,0.029,0.0291,0.0291,0.0291
INR,SGD,0.0212,0.0212,0.0212,0.0213,0.0212,0.0212
INR,FKP,0.012,0.012,0.012,0.012,0.0119,0.0119
INR,IDR,197.1,197.1,197.2,197.6,197.8,197.8
INR,JOD,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104
INR,ILS,0.0565,0.0564,0.0564,0.0564,0.0566,0.0566
INR,BND,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213
INR,LYD,0.0211,0.0211,0.0211,0.021,0.0212,0.0212
INR,ANG,0.0259,0.0259,0.0259,0.026,0.0262,0.0261
INR,DOP,0.6782,0.6782,0.6783,0.6861,0.6795,0.6795
INR,BIF,24.5431,24.5431,24.5453,24.646,24.6534,24.6534
INR,GEL,0.0386,0.0386,0.0386,0.0389,0.0388,0.0388
INR,GBP,0.012,0.012,0.012,0.012,0.0119,0.0119
INR,CVE,1.5576,1.5556,1.5553,1.5484,1.5436,1.5436
INR,BMD,0.0147,0.0147,0.0147,0.0147,0.0147,0.0147
INR,TND,0.0344,0.034,0.034,0.034,0.0339,0.0339
INR,AOA,2.4198,2.4198,2.42,2.4295,2.4296,2.4296
INR,JMD,1.8789,1.8789,1.8791,1.8887,1.8902,1.8902
INR,AZN,0.0259,0.0259,0.0259,0.026,0.0261,0.0261
INR,EGP,0.2756,0.2756,0.2756,0.2658,0.2649,0.2649
INR,LKR,2.1944,2.1944,2.1946,2.2017,2.2003,2.2003
INR,IRR,474.1718,474.1718,474.2135,476.4007,476.5101,476.5101
INR,BGN,0.0276,0.0276,0.0276,0.0276,0.0273,0.0273
INR,MXN,0.3038,0.3037,0.304,0.3038,0.3049,0.3049
INR,UAH,0.3978,0.3978,0.3979,0.3972,0.3972,0.3972
INR,YER,3.6639,3.6639,3.6642,3.6779,3.6785,3.6785
INR,MNT,36.3676,36.3676,36.3708,36.5138,36.5154,36.5154
INR,MAD,0.1496,0.1493,0.1495,0.1491,0.149,0.1489
